{'elevation': 19.0, 'canting': 7.0, 'aspect_ratio_func': 'dsr_thurai_2007', 'K2': 0.90778105579833, 'frequency': 35.5, 'n': (5.205429028358611+2.7778295107639392j), 'wl': 8.444857971830986, 'prefactor': 0.054621180151764676}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
1.51,1.0696177053381828,0.9826370525812943,2.2602814272755793,0.6474746403731421,0.004360565576961824,0.9639518083123905
1.52,1.1182066837102451,1.0256569143114502,2.32229112154648,0.6736318408948405,0.0045294237881226,0.9632529599508479
1.53,1.1684125271672094,1.070024488808279,2.3855637774158356,0.7006637743599451,0.004701829944195424,0.9625538986474304
1.54,1.220258205709575,1.115754861485779,2.450127274396714,0.7285936877120538,0.004877693506154139,0.961854627499368
1.55,1.273765045632829,1.1628614192232798,2.5160101544449955,0.757445288207114,0.005056936316434958,0.9611551495940623
1.56,1.3289534169503443,1.2113570212284464,2.583240240239862,0.7872427494501542,0.005239437550956895,0.9604554680090879
1.57,1.3858427859581612,1.261253265438455,2.651846113101483,0.8180107174713444,0.005425082106532875,0.9597555858121904
1.58,1.4444514108810818,1.312561216061185,2.7218550690218,0.8497743168413842,0.005613724230984921,0.959055506061288
1.59,1.5047961013838598,1.3652898925195112,2.7932948085426026,0.8825591568262163,0.005805232681878942,0.9583552318044705
1.6,1.5668923660479175,1.419447935902782,2.866192209417729,0.916391337581069,0.005999432368187942,0.95765476608
1.61,1.630754500852619,1.4750424812679133,2.9405737660200715,0.9512974563838252,0.006196155635255017,0.9569541119163105
1.62,1.6963954995381343,1.5320797450182513,3.0164652077223923,0.9873046139077184,0.006395206144679249,0.9562532723320079
1.6300000000000001,1.7638264430364001,1.590564570127794,3.093890874210808,1.0244404205333568,0.006596364297698102,0.9555522503358704
1.6400000000000001,1.8330577227079323,1.6505004395208642,3.172875016175134,1.062733002700073,0.006799447818540405,0.9548510489268479
1.6500000000000001,1.9040974758707592,1.7118897821164867,3.253440152416715,1.1022110092966044,0.007004208641254021,0.9541496710940625
1.6600000000000001,1.97695241744558,1.7747339750981295,3.335608099775392,1.1429036180910954,0.007210390438983487,0.953448119816808
1.6700000000000002,2.0516277169988233,1.8390327572077299,3.419399162527278,1.1848405422004327,0.007417724056024011,0.9527463980645504
1.68,2.1281272347578257,1.9047845027867507,3.504832354408225,1.2280520365989027,0.007625983534038932,0.952044508796928
1.69,2.206452558560704,1.971986951600947,3.591925164531634,1.2725689046661828,0.007834841768370921,0.9513424549637505
1.7,2.2866038199020364,2.0406356646467625,3.6806936104298176,1.31842250477465,0.008044026682618737,0.950640239505
1.71,2.3685798216760894,2.1107256872888267,3.771152623074966,1.3656447569160266,0.008253226547658029,0.9499378653508304
1.72,2.452376658726682,2.1822502499134417,3.8633147654602156,1.4142681493673468,0.008462105742480632,0.9492353354215678
1.73,2.537989810893781,2.2552013864483196,3.9571915213980082,1.4643257453962546,0.008670371390617696,0.9485326526277104
1.74,2.625411788006445,2.329569940581306,4.052792017896189,1.5158511900056264,0.008877647562734889,0.9478298198699279
1.75,2.7146338869076567,2.4053458615744763,4.150124185619014,1.56887871671752,0.009083588270736836,0.9471268400390624
1.76,2.8056461336737617,2.4825169648827274,4.24919384435068,1.6234431543964558,0.009287868572684873,0.946423716016128
1.77,2.8984357919411843,2.5610705239008844,4.350005014647703,1.6795799341120183,0.009490099185023462,0.9457204506723105
1.78,2.9929890451151873,2.640992111993974,4.452559872851668,1.737325096040791,0.0096899250852257,0.945017046868968
1.79,3.089289557710014,2.7222664795732534,4.556858738365688,1.7967152964076147,0.009886946605330535,0.9443135074576305
1.8,3.1873197163739286,2.8048768172328895,4.6629001630093745,1.8577878144661744,0.010080812417125745,0.9436098352799998
